18 Char ID,Region,Membership Status,Gender,Age,YPO/YPO Gold,Profile Completion %,Code of Conduct Accepted?,Forums,Networks,Tenure,Renewal Status
00361000018pvDfAAI,Africa,Member,Female,50,YPO,80,1,3,6,5,Closed Won
00361000010uXtoAAE,Canada,Member,Male,41,YPO,80,1,1,13,8,Closed Won
00361000010u7x3AAA,Europe,Member,Male,72,YPO Gold,53.3,1,0,16,21,Closed Won
00361000010ueUTAAY,Europe,Member,Male,56,YPO Gold,86.7,1,2,8,11,Closed Won
00361000017vskDAAQ,Europe,Member,Male,38,YPO,60,1,1,4,5,Closed Won
00361000010uWkFAAU,Latin America,Member,Male,43,YPO,60,1,1,8,4,Closed Won
00361000010u8KLAAY,Europe,Member,Male,59,YPO Gold,73.3,1,1,6,20,Closed Won
00361000010uXtuAAE,Africa,Member,Male,38,YPO,73.3,1,1,11,7,Closed Won
00361000014fS3eAAE,Europe,Member,Male,43,YPO,73.3,1,1,3,5,Closed Won
00361000010uWkSAAU,Africa,Member,Male,50,YPO,80,1,1,2,5,Closed Won
0036100001YrvxFAAR,Africa,Member,Male,43,YPO,73.3,1,1,3,4,Closed Won
00361000010urz0AAA,Australia/New Zealand,Member,Male,56,YPO Gold,73.3,1,1,5,11,Closed Won
00361000010uABeAAM,Europe,Member,Male,58,YPO Gold,66.7,1,1,5,18,Closed Won
00361000010uXiaAAE,Latin America,Member,Male,55,YPO Gold,73.3,1,1,0,11,Closed Won
00361000010u8KFAAY,Europe,Member,Male,64,YPO Gold,80,1,1,5,20,Closed Won
00361000010urrxAAA,Africa,Member,Male,50,YPO Gold,80,1,1,4,12,Closed Won
00361000010u4yYAAQ,Europe,Member,Male,62,YPO Gold,66.7,1,1,3,18,Closed Won
00361000010uXttAAE,Europe,Member,Male,40,YPO,66.7,1,1,6,9,Closed Won
0034M00001nq57aQAA,Europe,Member,Male,46,YPO,33.3,0,1,1,1,Closed Won
00361000010uY2dAAE,Canada,Member,Male,50,YPO,80,1,2,3,9,Closed Won
00361000017sd9EAAQ,Latin America,Member,Male,51,YPO Gold,86.7,1,1,14,5,Closed Won
00361000010urvcAAA,Europe,Member,Male,58,YPO Gold,53.3,1,0,2,12,Closed Won
00361000010u4ylAAA,Europe,Member,Male,59,YPO Gold,80,1,1,0,18,Closed Won
00361000010uro5AAA,Latin America,Member,Male,40,YPO,66.7,1,1,0,5,Closed Won
00361000018rM5cAAE,Latin America,Member,Male,49,YPO,66.7,1,1,3,4,Closed Won
00361000010urRYAAY,Africa,Member,Male,48,YPO,73.3,1,1,13,9,Closed Won
00361000010u6YXAAY,Latin America,Member,Male,71,YPO Gold,86.7,1,1,3,18,Closed Won
00361000010uWo0AAE,Canada,Member,Male,47,YPO,80,1,1,4,7,Closed Won
00361000010u4yZAAQ,Africa,Member,Male,58,YPO Gold,73.3,1,0,0,17,Closed Won
00361000010uY2mAAE,Europe,Member,Male,50,YPO,73.3,1,1,7,9,Closed Won
00361000010u6KcAAI,Canada,Member,Female,53,YPO Gold,86.7,1,1,2,15,Closed Won
00361000010urBCAAY,Canada,Member,Male,55,YPO Gold,66.7,1,1,0,9,Closed Won
00361000018pm8tAAA,Europe,Member,Female,51,YPO Gold,86.7,1,1,13,4,Closed Won
00361000010uXIdAAM,Europe,Member,Male,56,YPO Gold,40,1,0,0,8,Closed Won
0036100001784AyAAI,Latin America,Pending Reinstatement,Male,51,YPO,80,0,1,5,4,Closed Lost
00361000010uXWxAAM,Canada,Member,Male,47,YPO,93.3,1,1,2,7,Closed Won
0034M00001nsNd8QAE,Latin America,Member,Male,37,YPO,33.3,1,1,3,2,Closed Won
00361000010uXISAA2,Europe,Member,Male,49,YPO,73.3,1,1,1,9,Closed Won
0034M00001nsZIiQAM,Africa,Member,Male,41,YPO,33.3,0,1,1,2,Closed Won
00361000010uryiAAA,Europe,Member,Male,55,YPO Gold,80,1,2,6,10,Closed Won
0034M00001nqEm3QAE,Australia/New Zealand,Member,Female,38,YPO,26.7,1,1,7,2,Closed Won
00361000010urRaAAI,Latin America,Member,Male,51,YPO Gold,66.7,1,1,6,9,Closed Won
00361000015lPaOAAU,Europe,Member,Male,45,YPO,66.7,1,0,4,5,Closed Won
00361000010uY0ZAAU,Africa,Member,Male,49,YPO,93.3,1,1,0,10,Closed Won
0034M00001zv0QtQAI,Europe,Member,Male,44,YPO,33.3,1,0,1,1,Closed Won
00361000010urysAAA,Europe,Pending Reinstatement,Female,52,YPO Gold,46.7,0,0,14,2,Not Started
00361000010hRz5AAE,Australia/New Zealand,Member,Male,62,YPO Gold,86.7,1,1,4,28,Closed Won
00361000010uXLiAAM,Latin America,Member,Male,56,YPO Gold,40,1,1,0,6,Closed Won
00361000010u9HiAAI,Europe,Member,Female,54,YPO Gold,53.3,1,2,4,10,Closed Won
00361000010urZgAAI,Canada,Member,Male,48,YPO,93.3,1,1,6,10,Closed Won
00361000010u6YdAAI,Latin America,Member,Male,61,YPO Gold,93.3,1,4,8,24,Closed Won
00361000010uWkbAAE,Latin America,Member,Male,50,YPO,86.7,1,4,10,4,Closed Won
00361000010hStQAAU,Canada,Member,Male,62,YPO Gold,73.3,1,4,2,24,Closed Won
00361000010urZ0AAI,Latin America,Member,Male,52,YPO Gold,66.7,1,0,3,9,Closed Won
00361000010uAxTAAU,Canada,Member,Male,74,YPO Gold,53.3,1,0,0,26,Closed Won
00361000010urIzAAI,Latin America,Member,Male,53,YPO Gold,73.3,1,1,3,11,Closed Won
00361000017tlU1AAI,Europe,Member,Female,46,YPO,80,1,1,4,5,Closed Won
00361000010uWkXAAU,Latin America,Member,Male,46,YPO,86.7,1,1,7,5,Closed Won
00361000010hT48AAE,Latin America,Member,Male,60,YPO Gold,93.3,1,1,2,20,Closed Won
00361000010urd0AAA,Australia/New Zealand,Member,Male,45,YPO,66.7,1,1,5,6,Closed Won
0034M00001nq8FUQAY,Europe,Member,Male,38,YPO,33.3,1,1,0,2,Closed Won
00361000010urCtAAI,Europe,Member,Male,52,YPO Gold,80,1,1,6,9,Closed Won
0034M00001nrlIKQAY,Europe,Member,Male,38,YPO,33.3,1,1,1,2,Closed Won
00361000010uY13AAE,Europe,Member,Male,43,YPO,53.3,1,1,4,9,Closed Won
0036100001a2uvIAAQ,Latin America,Member,Male,38,YPO,86.7,1,1,11,3,Closed Won
00361000010uWvkAAE,Europe,Member,Male,52,YPO Gold,73.3,1,1,8,7,Closed Won
00361000010u85fAAA,Australia/New Zealand,Member,Male,70,YPO Gold,73.3,0,1,5,23,Closed Won
00361000010urCxAAI,Australia/New Zealand,Member,Male,56,YPO Gold,100,1,2,15,9,Closed Won
0034M00001nqugEQAQ,Australia/New Zealand,Member,Male,47,YPO,46.7,1,0,13,2,Closed Won
00361000010uWklAAE,Europe,Member,Male,48,YPO,66.7,1,1,0,5,Closed Won
00361000017uBUXAA2,Europe,Member,Male,35,YPO,73.3,1,1,1,5,Closed Won
00361000010uXtyAAE,Africa,Member,Male,46,YPO,86.7,1,1,5,9,Closed Won
00361000010u8W7AAI,Africa,Member,Male,51,YPO Gold,80,1,2,12,10,Closed Won
00361000010uXu6AAE,Europe,Member,Male,34,YPO,66.7,1,1,0,7,Closed Won
00361000010u5FDAAY,Europe,Member,Male,61,YPO Gold,80,1,0,4,16,Closed Won
00361000010uXu9AAE,Australia/New Zealand,Member,Male,43,YPO,80,1,1,4,9,Closed Won
0036100001YFawlAAD,Europe,Member,Male,47,YPO,66.7,1,0,1,4,Closed Won
00361000010uXu8AAE,Europe,Pending Reinstatement,Male,53,YPO Gold,80,0,1,4,6,Not Started
00361000010u8W5AAI,Africa,Pending Reinstatement,Male,48,YPO,80,1,1,10,9,Not Started
00361000010uWl7AAE,Europe,Member,Male,45,YPO,73.3,1,1,4,9,Closed Won
0036100001R84iCAAR,Europe,Member,Male,51,YPO Gold,73.3,1,1,3,4,Closed Won
00361000010urkTAAQ,Europe,Member,Male,49,YPO,80,0,1,0,8,Closed Won
00361000017vNtdAAE,Latin America,Member,Male,51,YPO Gold,60,1,1,1,5,Closed Won
00361000010uXLyAAM,Europe,Member,Male,49,YPO,66.7,1,1,16,10,Closed Won
00361000010uBKwAAM,Europe,Member,Male,53,YPO Gold,53.3,1,0,4,13,Closed Won
00361000010urnZAAQ,Europe,Member,Male,50,YPO,66.7,1,1,0,5,Closed Won
00361000010u5FpAAI,Europe,Member,Male,57,YPO Gold,93.3,1,3,10,23,Closed Won
00361000010uXuCAAU,Europe,Member,Male,49,YPO,93.3,1,1,8,9,Closed Won
00361000010u51iAAA,Latin America,Member,Male,82,YPO Gold,53.3,1,0,0,10,Closed Won
00361000010urksAAA,Latin America,Member,Male,47,YPO,73.3,1,2,10,9,Closed Won
00361000017tVhoAAE,Canada,Member,Male,50,YPO,66.7,1,1,5,5,Closed Won
00361000010ureuAAA,Europe,Member,Female,48,YPO,73.3,1,1,1,6,Closed Won
